id,VMT,count,percentage,FIPS
563068,"1 (Tract 101.01, El Paso, TX)",1785.200019,0.01,481410101011
563071,"2 (Tract 103.35, El Paso, TX)",74537.50003,0.44,481410103352
566285,"1 (Tract 23, El Paso, TX)",5563.800002,0.03,481410023001
566298,"1 (Tract 43.17, El Paso, TX)",45429.89992,0.27,481410043171
566334,"2 (Tract 1.01, El Paso, TX)",25983.60002,0.15,481410001012
566341,"1 (Tract 103.37, El Paso, TX)",58502.7,0.34,481410103371
566358,"1 (Tract 101.02, El Paso, TX)",27827.80004,0.16,481410101021
566449,"3 (Tract 43.16, El Paso, TX)",20351.5,0.12,481410043163
571383,"1 (Tract 103.26, El Paso, TX)",22193.19995,0.13,481410103261
572236,"4 (Tract 102.21, El Paso, TX)",32113.40005,0.19,481410102214
572263,"3 (Tract 36.01, El Paso, TX)",12743.50002,0.07,481410036013
572347,"3 (Tract 13.01, El Paso, TX)",27102.4,0.16,481410013013
572389,"1 (Tract 103.33, El Paso, TX)",57527.20007,0.34,481410103331
572431,"2 (Tract 103.44, El Paso, TX)",48188.89998,0.28,481410103442
